original_variable,year_last_seen,continuity_variable,cat_1,cat_2,Notes
m14_local_authority_companies_only_gross_borrowing_and_other_long_term_liabilities_as_at_31_march,2013-14,LA companies: gross borrowing and other long-term liabilities at 31 March,memo,memo,
m15_local_authority_companies_only_gross_borrowing_and_other_long_term_liabilities_as_at_31_march,2007-08,LA companies: gross borrowing and other long-term liabilities at 31 March,memo,memo,
loans_other_financial_assistance_from_gla_bodies,2018-19,Loans and other financial assistance from GLA bodies,Borrowing,Financing,
loans_other_financial_assistance_from_local_enterprise_partnerships,2018-19,Loans and other financial assistance from LEPs,Borrowing,Financing,
loans_other_financial_assistance_from_other_local_authorities,2018-19,Loans and other financial assistance from other LAs,Borrowing,Financing,
minimum_revenue_provision,2016-17,MRP,CFR,Prudential,
capital_expenditure_financed_by_the_major_repairs_reserve,2005-06,MRR CERA,CERA,Financing,
capital_expenditure_financed_from_the_major_repairs_reserve_mrr,2016-17,MRR CERA,CERA,Financing,
major_repairs_reserve,2018-19,MRR CERA,CERA,Financing,
contributions_from_mrr,2005-06,MRR CERA in CFR,CFR,Prudential,
contribution_from_major_repairs_reserve,2016-17,MRR CERA in CFR,CFR,Prudential,
on_balance_sheet_pfi_financing,2017-18,On balance sheet PFI financing,Financing,Financing,
operational_boundary_for_external_debt_as_1_apr,2005-06,Operational boundary at 1 April,Prudential,Prudential,
operational_boundary_for_external_debt_at_1_april,2016-17,Operational boundary at 1 April,Prudential,Prudential,
operational_boundary_for_external_debt_at_1_april_2004,2004-05,Operational boundary at 1 April,Prudential,Prudential,
operational_boundary_for_external_debt_at_31_march,2016-17,Operational boundary at 31 March,Prudential,Prudential,
operational_boundary_for_external_debt_at_31_march_2005,2004-05,Operational boundary at 31 March,Prudential,Prudential,
other_borrowing_and_credit_arrangements_not_supported,2005-06,Other borrowing,Borrowing,Financing,
other_borrowing_and_credit_arrangements_not_supported_by_central_government,2016-17,Other borrowing,Borrowing,Financing,
other_borrowing_credit_arrangements_not_supported_by_central_government,2018-19,Other borrowing,Borrowing,Financing,
other_long_term_liabilities_as_at_1_april,2016-17,Other long-term liabilities at 1 April,Financial assets and liabilities,Prudential,
other_long_term_liabilities_as_at_1_april_2004,2004-05,Other long-term liabilities at 1 April,Financial assets and liabilities,Prudential,
other_long_term_liabilities_as_at_31_march,2016-17,Other long-term liabilities at 31 March,Financial assets and liabilities,Prudential,
other_long_term_liabilities_as_at_31_march_2005,2004-05,Other long-term liabilities at 31 March,Financial assets and liabilities,Prudential,
m7_other_section_106_amounts,2016-17,other s106 amounts,memo,memo,
payment_of_lsvt_levy,2016-17,Payment of LSVT levy,Spending,Spending,
capital_exp_to_be_resourced_by_means_of_credit,2005-06,Planned borrowing,CFR,Prudential,
capital_expenditure_to_be_resourced_by_means_of_credit,2016-17,Planned borrowing,CFR,Prudential,
capital_expenditure_to_be_resourced_by_means_of_credit_lines_26_to_28,2014-15,Planned borrowing,CFR,Prudential,
capital_expenditure_to_be_resourced_by_means_of_credit_lines_26_to_28,2013-14,Planned borrowing,CFR,Prudential,
m6_section_106_payments_for_affordable_housing_commuted_sums,2016-17,s106 payments for affordable housing (commuted sums),memo,memo,
sce_r_separate_programme_element,2013-14,SCE(R) Separate Programme Element,Borrowing,Financing,Supported capital expenditure (SCE) is borrowing that is partly support by central government. Discontinued as of March 31 2011
sce_r_seperate_programme_element,2005-06,SCE(R) Separate Programme Element,Borrowing,Financing,Supported capital expenditure (SCE) is borrowing that is partly support by central government. Discontinued as of March 31 2011
total_sce_r_separate_programme_element_04_05,2004-05,SCE(R) Separate Programme Element,Borrowing,Financing,Supported capital expenditure (SCE) is borrowing that is partly support by central government. Discontinued as of March 31 2011
sce_r_single_capital_pot,2013-14,SCE(R) Single Capital Pot,Borrowing,Financing,Supported capital expenditure (SCE) is borrowing that is partly support by central government. Discontinued as of March 31 2011
total_sce_r_single_capital_pot_for_04_05,2004-05,SCE(R) Single Capital Pot,Borrowing,Financing,Supported capital expenditure (SCE) is borrowing that is partly support by central government. Discontinued as of March 31 2011
expenditure_treated_as_capital_expenditure_by_virtue_of_a_section_16_2_b_direction,2016-17,Spending under capitalisation direction,Spending,Spending,
expenditure_treated_as_capital_expenditure_by_virtue_of_a_section_40_6_direction,2005-06,Spending under capitalisation direction,Spending,Spending,
total_prudential_borrowing_excluding_pfi,2018-19,Total borrowing (excl PFI),Borrowing,Financing,Sum of borrowing lines
total_prudential_borrowing_including_pfi,2017-18,Total borrowing (incl PFI),Financing,Financing,
total_capital_expenditure_and_other_transactions_on_an_accruals_basis_and_requiring_resource_cover,2016-17,Total capex,Spending,Spending,
total_expenditure_and_other_transactions,2005-06,Total capex,Spending,Spending,
total_expenditure_and_other_transactions_on_an_accruals_basis_and_requiring_resource_cover,2015-16,Total capex,Spending,Spending,
total_resources_used_to_finance_cap_expenditure,2005-06,Total capital financing,Financing,Financing,Sum of financing lines
total_resources_used_to_finance_capital_expenditure,2016-17,Total capital financing,Financing,Financing,Sum of financing lines
total_resources_used_to_finance_capital_expenditure_other_transactions,2018-19,Total capital financing,Financing,Financing,Sum of financing lines
total_resources_used_to_finance_capital_expenditure_total_19_to_31,2004-05,Total capital financing,Financing,Financing,Sum of financing lines
total_resources_used_to_finance_capital_expenditure_total_lines_16_to_28,2014-15,Total capital financing,Financing,Financing,Sum of financing lines
total_resources_used_to_finance_capital_expenditure_total_lines_16_to_28,2013-14,Total capital financing,Financing,Financing,Sum of financing lines
total_resources_used_to_finance_capital_expenditure_other_transactions_pfi,2017-18,Total capital financing (incl PFI),Financing,Financing,
total_capital_receipts_accruals,2016-17,Total capital receipts,Spending,Spending,This is the receipts figure to net off total capex
total_receipts,2005-06,Total capital receipts,Spending,Spending,This is the receipts figure to net off total capex
total_receipts_accruals,2015-16,Total capital receipts,Spending,Spending,This is the receipts figure to net off total capex
total_revenue_account_resources_used_to_finance_capital_expenditure,2018-19,Total CERA,CERA,Financing,Sum of CERA lines
total_grants_used_to_finance_capital_expenditure,2018-19,Total grants used to finance capital expenditure,Grant,Financing,Sum of grant lines
hra_capital_expenditure,2015-16,Total HRA capex,Spending,Spending,
of_which_is_hra_capital_expenditure,2016-17,Total HRA capex,Spending,Spending,Component of total capex
use_of_receipts,2016-17,Use of receipts,CFR,Prudential,
